,year,startdate,enddate,frost_season,growing_season,city,rank
23,1973,11/5/73,5/8/74,184 days 00:00:00.000000000,181,Scranton,2
24,1974,9/24/74,4/22/75,210 days 00:00:00.000000000,155,Scranton,2
25,1975,10/30/75,4/13/76,166 days 00:00:00.000000000,199,Scranton,2
26,1976,10/12/76,5/9/77,209 days 00:00:00.000000000,156,Scranton,2
27,1977,10/17/77,5/4/78,199 days 00:00:00.000000000,166,Scranton,2
28,1978,10/18/78,5/2/79,196 days 00:00:00.000000000,169,Scranton,2
29,1979,10/27/79,4/17/80,173 days 00:00:00.000000000,192,Scranton,2
30,1980,10/24/80,4/22/81,180 days 00:00:00.000000000,185,Scranton,2
31,1981,10/20/81,4/23/82,185 days 00:00:00.000000000,180,Scranton,2
32,1982,10/18/82,5/18/83,212 days 00:00:00.000000000,153,Scranton,2
33,1983,10/21/83,4/22/84,184 days 00:00:00.000000000,181,Scranton,2
34,1984,11/3/84,5/9/85,187 days 00:00:00.000000000,178,Scranton,2
35,1985,10/12/85,4/24/86,194 days 00:00:00.000000000,171,Scranton,2
36,1986,10/10/86,4/2/87,174 days 00:00:00.000000000,191,Scranton,2
37,1987,10/12/87,4/26/88,197 days 00:00:00.000000000,168,Scranton,2
38,1988,10/8/88,4/24/89,198 days 00:00:00.000000000,167,Scranton,2
39,1989,10/9/89,4/19/90,192 days 00:00:00.000000000,173,Scranton,2
40,1990,10/27/90,4/12/91,167 days 00:00:00.000000000,198,Scranton,2
41,1991,9/30/91,4/15/92,198 days 00:00:00.000000000,167,Scranton,2
42,1992,10/6/92,4/14/93,190 days 00:00:00.000000000,175,Scranton,2
43,1993,10/1/93,4/23/94,204 days 00:00:00.000000000,161,Scranton,2
44,1994,10/11/94,4/17/95,188 days 00:00:00.000000000,177,Scranton,2
45,1995,11/4/95,5/14/96,192 days 00:00:00.000000000,173,Scranton,2
46,1996,10/3/96,4/25/97,204 days 00:00:00.000000000,161,Scranton,2
47,1997,10/2/97,4/27/98,207 days 00:00:00.000000000,158,Scranton,2
48,1998,11/3/98,4/25/99,173 days 00:00:00.000000000,192,Scranton,2
49,1999,10/7/99,4/13/00,189 days 00:00:00.000000000,176,Scranton,2
50,2000,9/29/00,4/29/01,212 days 00:00:00.000000000,153,Scranton,2
51,2001,10/8/01,5/22/02,226 days 00:00:00.000000000,139,Scranton,2
52,2002,10/22/02,4/14/03,174 days 00:00:00.000000000,191,Scranton,2
53,2003,10/3/03,4/28/04,208 days 00:00:00.000000000,157,Scranton,2
54,2004,10/6/04,5/13/05,219 days 00:00:00.000000000,146,Scranton,2
55,2005,10/28/05,5/7/06,191 days 00:00:00.000000000,174,Scranton,2
56,2006,10/13/06,4/16/07,185 days 00:00:00.000000000,180,Scranton,2
57,2007,10/29/07,5/1/08,185 days 00:00:00.000000000,180,Scranton,2
58,2008,10/18/08,5/19/09,213 days 00:00:00.000000000,152,Scranton,2
59,2009,10/12/09,5/11/10,211 days 00:00:00.000000000,154,Scranton,2
60,2010,11/2/10,4/22/11,171 days 00:00:00.000000000,194,Scranton,2
61,2011,10/28/11,4/30/12,185 days 00:00:00.000000000,180,Scranton,2
62,2012,10/12/12,5/14/13,214 days 00:00:00.000000000,151,Scranton,2
63,2013,10/23/13,4/28/14,187 days 00:00:00.000000000,178,Scranton,2
64,2014,10/20/14,4/26/15,188 days 00:00:00.000000000,177,Scranton,2
65,2015,10/17/15,4/24/16,190 days 00:00:00.000000000,175,Scranton,2
66,2016,10/26/16,4/9/17,165 days 00:00:00.000000000,200,Scranton,2
67,2017,10/17/17,4/22/18,187 days 00:00:00.000000000,178,Scranton,2
68,2018,10/18/18,4/29/19,193 days 00:00:00.000000000,172,Scranton,2
69,2019,10/19/19,5/13/20,207 days 00:00:00.000000000,158,Scranton,2
0,1950,9/25/50,5/14/51,231 days 00:00:00.000000000,134,Springfield,3
1,1951,9/30/51,5/17/52,230 days 00:00:00.000000000,135,Springfield,3
2,1952,10/9/52,4/14/53,187 days 00:00:00.000000000,178,Springfield,3
3,1953,9/24/53,4/29/54,217 days 00:00:00.000000000,148,Springfield,3
4,1954,10/7/54,4/9/55,184 days 00:00:00.000000000,181,Springfield,3
5,1955,10/22/55,5/25/56,216 days 00:00:00.000000000,149,Springfield,3
6,1956,10/6/56,5/3/57,209 days 00:00:00.000000000,156,Springfield,3
7,1957,9/27/57,5/14/58,229 days 00:00:00.000000000,136,Springfield,3
8,1958,10/6/58,4/24/59,200 days 00:00:00.000000000,165,Springfield,3
9,1959,10/15/59,4/20/60,188 days 00:00:00.000000000,177,Springfield,3
10,1960,10/2/60,5/31/61,241 days 00:00:00.000000000,124,Springfield,3
11,1961,10/5/61,5/13/62,220 days 00:00:00.000000000,145,Springfield,3
12,1962,9/21/62,5/24/63,245 days 00:00:00.000000000,120,Springfield,3
13,1963,9/14/63,5/3/64,232 days 00:00:00.000000000,133,Springfield,3
14,1964,10/6/64,5/15/65,221 days 00:00:00.000000000,144,Springfield,3
15,1965,9/28/65,5/14/66,228 days 00:00:00.000000000,137,Springfield,3
16,1966,9/16/66,5/17/67,243 days 00:00:00.000000000,122,Springfield,3
17,1967,9/26/67,5/8/68,225 days 00:00:00.000000000,140,Springfield,3
18,1968,10/5/68,5/27/69,234 days 00:00:00.000000000,131,Springfield,3
19,1969,10/15/69,5/7/70,204 days 00:00:00.000000000,161,Springfield,3
20,1970,10/5/70,5/24/71,231 days 00:00:00.000000000,134,Springfield,3
21,1971,9/25/71,5/26/72,244 days 00:00:00.000000000,121,Springfield,3
22,1972,10/2/72,5/7/73,217 days 00:00:00.000000000,148,Springfield,3
23,1973,9/21/73,5/8/74,229 days 00:00:00.000000000,136,Springfield,3
24,1974,9/24/74,4/30/75,218 days 00:00:00.000000000,147,Springfield,3
25,1975,9/15/75,5/9/76,237 days 00:00:00.000000000,128,Springfield,3
26,1976,9/29/76,5/15/77,228 days 00:00:00.000000000,137,Springfield,3
27,1977,10/7/77,5/4/78,209 days 00:00:00.000000000,156,Springfield,3
28,1978,9/26/78,4/22/79,208 days 00:00:00.000000000,157,Springfield,3
29,1979,9/20/79,5/11/80,234 days 00:00:00.000000000,131,Springfield,3
30,1980,9/28/80,5/19/81,233 days 00:00:00.000000000,132,Springfield,3
31,1981,9/29/81,5/5/82,218 days 00:00:00.000000000,147,Springfield,3
32,1982,10/3/82,5/18/83,227 days 00:00:00.000000000,138,Springfield,3
33,1983,10/16/83,5/21/84,218 days 00:00:00.000000000,147,Springfield,3
34,1984,9/16/84,5/9/85,235 days 00:00:00.000000000,130,Springfield,3
35,1985,10/8/85,5/10/86,214 days 00:00:00.000000000,151,Springfield,3
36,1986,9/17/86,5/14/87,239 days 00:00:00.000000000,126,Springfield,3
37,1987,10/5/87,5/5/88,213 days 00:00:00.000000000,152,Springfield,3
38,1988,9/29/88,4/29/89,212 days 00:00:00.000000000,153,Springfield,3
39,1989,9/28/89,4/19/90,203 days 00:00:00.000000000,162,Springfield,3
40,1990,9/18/90,4/19/91,213 days 00:00:00.000000000,152,Springfield,3
41,1991,9/28/91,5/7/92,222 days 00:00:00.000000000,143,Springfield,3
42,1992,10/1/92,5/30/93,241 days 00:00:00.000000000,124,Springfield,3
43,1993,9/20/93,5/28/94,250 days 00:00:00.000000000,115,Springfield,3
44,1994,11/3/94,5/7/95,185 days 00:00:00.000000000,180,Springfield,3
45,1995,9/11/95,5/15/96,247 days 00:00:00.000000000,118,Springfield,3
46,1996,10/4/96,5/8/97,216 days 00:00:00.000000000,149,Springfield,3
47,1997,9/22/97,4/29/98,219 days 00:00:00.000000000,146,Springfield,3
48,1998,10/5/98,5/13/99,220 days 00:00:00.000000000,145,Springfield,3
49,1999,10/7/99,5/16/00,222 days 00:00:00.000000000,143,Springfield,3
50,2000,9/29/00,5/15/01,228 days 00:00:00.000000000,137,Springfield,3
51,2001,10/8/01,5/22/02,226 days 00:00:00.000000000,139,Springfield,3
52,2002,10/15/02,4/26/03,193 days 00:00:00.000000000,172,Springfield,3
53,2003,10/3/03,5/5/04,215 days 00:00:00.000000000,150,Springfield,3
54,2004,10/6/04,5/13/05,219 days 00:00:00.000000000,146,Springfield,3
55,2005,10/21/05,5/7/06,198 days 00:00:00.000000000,167,Springfield,3
56,2006,10/13/06,5/14/07,213 days 00:00:00.000000000,152,Springfield,3
57,2007,10/13/07,5/2/08,202 days 00:00:00.000000000,163,Springfield,3
58,2008,10/23/08,5/19/09,208 days 00:00:00.000000000,157,Springfield,3
59,2009,10/11/09,5/11/10,212 days 00:00:00.000000000,153,Springfield,3
60,2010,10/10/10,5/6/11,208 days 00:00:00.000000000,157,Springfield,3
61,2011,10/6/11,4/30/12,207 days 00:00:00.000000000,158,Springfield,3
62,2012,10/13/12,5/15/13,214 days 00:00:00.000000000,151,Springfield,3
63,2013,10/24/13,5/7/14,195 days 00:00:00.000000000,170,Springfield,3
64,2014,10/20/14,4/25/15,187 days 00:00:00.000000000,178,Springfield,3
65,2015,10/16/15,5/10/16,207 days 00:00:00.000000000,158,Springfield,3
66,2016,10/11/16,5/4/17,205 days 00:00:00.000000000,160,Springfield,3
67,2017,10/17/17,4/24/18,189 days 00:00:00.000000000,176,Springfield,3
68,2018,10/19/18,4/29/19,192 days 00:00:00.000000000,173,Springfield,3
69,2019,10/5/19,5/14/20,222 days 00:00:00.000000000,143,Springfield,3
0,1950,9/24/50,4/24/51,212 days 00:00:00.000000000,153,Hartford,4
1,1951,9/30/51,4/12/52,195 days 00:00:00.000000000,170,Hartford,4
2,1952,10/11/52,3/22/53,162 days 00:00:00.000000000,203,Hartford,4
3,1953,10/9/53,4/10/54,183 days 00:00:00.000000000,182,Hartford,4
4,1954,10/8/54,4/18/55,192 days 00:00:00.000000000,173,Hartford,4
5,1955,10/22/55,5/9/56,200 days 00:00:00.000000000,165,Hartford,4
6,1956,9/21/56,5/3/57,224 days 00:00:00.000000000,141,Hartford,4
7,1957,9/27/57,4/12/58,197 days 00:00:00.000000000,168,Hartford,4
8,1958,10/6/58,4/24/59,200 days 00:00:00.000000000,165,Hartford,4
9,1959,10/16/59,4/20/60,187 days 00:00:00.000000000,178,Hartford,4
10,1960,10/2/60,5/6/61,216 days 00:00:00.000000000,149,Hartford,4
11,1961,10/5/61,5/13/62,220 days 00:00:00.000000000,145,Hartford,4
12,1962,9/21/62,4/29/63,220 days 00:00:00.000000000,145,Hartford,4
13,1963,9/24/63,5/4/64,223 days 00:00:00.000000000,142,Hartford,4
14,1964,10/6/64,4/25/65,201 days 00:00:00.000000000,164,Hartford,4
15,1965,9/28/65,5/11/66,225 days 00:00:00.000000000,140,Hartford,4
16,1966,10/27/66,5/7/67,192 days 00:00:00.000000000,173,Hartford,4
17,1967,10/23/67,5/8/68,198 days 00:00:00.000000000,167,Hartford,4
18,1968,10/6/68,4/21/69,197 days 00:00:00.000000000,168,Hartford,4
19,1969,10/16/69,4/14/70,180 days 00:00:00.000000000,185,Hartford,4
20,1970,10/18/70,4/28/71,192 days 00:00:00.000000000,173,Hartford,4
21,1971,11/5/71,4/28/72,175 days 00:00:00.000000000,190,Hartford,4
22,1972,10/10/72,4/15/73,187 days 00:00:00.000000000,178,Hartford,4
23,1973,10/22/73,5/8/74,198 days 00:00:00.000000000,167,Hartford,4
24,1974,9/24/74,4/23/75,211 days 00:00:00.000000000,154,Hartford,4
25,1975,10/3/75,4/13/76,193 days 00:00:00.000000000,172,Hartford,4
26,1976,10/11/76,4/11/77,182 days 00:00:00.000000000,183,Hartford,4
27,1977,10/8/77,5/4/78,208 days 00:00:00.000000000,157,Hartford,4
28,1978,9/27/78,4/20/79,205 days 00:00:00.000000000,160,Hartford,4
29,1979,9/20/79,4/22/80,215 days 00:00:00.000000000,150,Hartford,4
30,1980,10/10/80,5/9/81,211 days 00:00:00.000000000,154,Hartford,4
31,1981,10/11/81,4/23/82,194 days 00:00:00.000000000,171,Hartford,4
32,1982,10/11/82,5/12/83,213 days 00:00:00.000000000,152,Hartford,4
33,1983,10/20/83,5/18/84,211 days 00:00:00.000000000,154,Hartford,4
34,1984,10/5/84,5/9/85,216 days 00:00:00.000000000,149,Hartford,4
35,1985,10/12/85,5/4/86,204 days 00:00:00.000000000,161,Hartford,4
36,1986,10/7/86,5/14/87,219 days 00:00:00.000000000,146,Hartford,4
37,1987,10/13/87,4/26/88,196 days 00:00:00.000000000,169,Hartford,4
38,1988,10/7/88,4/26/89,201 days 00:00:00.000000000,164,Hartford,4
39,1989,10/10/89,4/19/90,191 days 00:00:00.000000000,174,Hartford,4
40,1990,10/21/90,4/19/91,180 days 00:00:00.000000000,185,Hartford,4
41,1991,9/29/91,5/6/92,220 days 00:00:00.000000000,145,Hartford,4
42,1992,10/1/92,4/8/93,189 days 00:00:00.000000000,176,Hartford,4
43,1993,10/1/93,4/23/94,204 days 00:00:00.000000000,161,Hartford,4
44,1994,10/12/94,4/17/95,187 days 00:00:00.000000000,178,Hartford,4
45,1995,10/31/95,5/7/96,189 days 00:00:00.000000000,176,Hartford,4
46,1996,10/4/96,4/16/97,194 days 00:00:00.000000000,171,Hartford,4
47,1997,10/12/97,4/13/98,183 days 00:00:00.000000000,182,Hartford,4
48,1998,10/7/98,4/11/99,186 days 00:00:00.000000000,179,Hartford,4
49,1999,10/7/99,4/14/00,190 days 00:00:00.000000000,175,Hartford,4
50,2000,9/29/00,5/7/01,220 days 00:00:00.000000000,145,Hartford,4
51,2001,10/9/01,5/20/02,223 days 00:00:00.000000000,142,Hartford,4
52,2002,10/15/02,4/18/03,185 days 00:00:00.000000000,180,Hartford,4
53,2003,10/6/03,4/10/04,187 days 00:00:00.000000000,178,Hartford,4
54,2004,10/6/04,5/13/05,219 days 00:00:00.000000000,146,Hartford,4
55,2005,10/27/05,4/11/06,166 days 00:00:00.000000000,199,Hartford,4
56,2006,10/14/06,4/11/07,179 days 00:00:00.000000000,186,Hartford,4
57,2007,10/29/07,5/1/08,185 days 00:00:00.000000000,180,Hartford,4
58,2008,10/19/08,4/17/09,180 days 00:00:00.000000000,185,Hartford,4
59,2009,10/12/09,5/13/10,213 days 00:00:00.000000000,152,Hartford,4
60,2010,10/31/10,4/22/11,173 days 00:00:00.000000000,192,Hartford,4
61,2011,10/28/11,4/13/12,168 days 00:00:00.000000000,197,Hartford,4
62,2012,10/13/12,5/15/13,214 days 00:00:00.000000000,151,Hartford,4
63,2013,10/25/13,4/21/14,178 days 00:00:00.000000000,187,Hartford,4
64,2014,10/31/14,4/25/15,176 days 00:00:00.000000000,189,Hartford,4
65,2015,10/18/15,4/17/16,182 days 00:00:00.000000000,183,Hartford,4
66,2016,10/15/16,4/9/17,176 days 00:00:00.000000000,189,Hartford,4
67,2017,11/1/17,4/23/18,173 days 00:00:00.000000000,192,Hartford,4
68,2018,10/18/18,4/11/19,175 days 00:00:00.000000000,190,Hartford,4
69,2019,11/2/19,5/10/20,190 days 00:00:00.000000000,175,Hartford,4
0,1950,12/6/50,3/13/51,97 days 00:00:00.000000000,268,McAllen,5
1,1951,11/3/51,12/22/51,49 days 00:00:00.000000000,316,McAllen,5
2,1952,,,,365,McAllen,5
3,1953,12/15/53,12/26/53,11 days 00:00:00.000000000,354,McAllen,5
4,1954,1/24/55,2/12/55,19 days 00:00:00.000000000,346,McAllen,5
5,1955,12/16/55,12/16/55,0 days 00:00:00.000000000,365,McAllen,5
6,1956,11/30/56,,,365,McAllen,5
7,1957,12/1/57,2/13/58,74 days 00:00:00.000000000,291,McAllen,5
8,1958,12/16/58,1/10/59,25 days 00:00:00.000000000,340,McAllen,5
9,1959,11/18/59,2/26/60,100 days 00:00:00.000000000,265,McAllen,5
10,1960,1/28/61,1/30/61,2 days 00:00:00.000000000,363,McAllen,5
11,1961,1/2/62,1/13/62,11 days 00:00:00.000000000,354,McAllen,5
12,1962,1/12/63,2/14/63,33 days 00:00:00.000000000,332,McAllen,5
13,1963,11/30/63,2/9/64,71 days 00:00:00.000000000,294,McAllen,5
14,1964,12/19/64,12/19/64,0 days 00:00:00.000000000,365,McAllen,5
15,1965,1/23/66,1/31/66,8 days 00:00:00.000000000,357,McAllen,5
16,1966,12/12/66,2/10/67,60 days 00:00:00.000000000,305,McAllen,5
17,1967,1/8/68,2/25/68,48 days 00:00:00.000000000,317,McAllen,5
18,1968,1/5/69,1/6/69,1 days 00:00:00.000000000,364,McAllen,5
19,1969,11/21/69,1/8/70,48 days 00:00:00.000000000,317,McAllen,5
20,1970,11/16/70,2/9/71,85 days 00:00:00.000000000,280,McAllen,5
21,1971,1/17/72,2/4/72,18 days 00:00:00.000000000,347,McAllen,5
22,1972,1/10/73,2/11/73,32 days 00:00:00.000000000,333,McAllen,5
23,1973,12/21/73,12/22/73,1 days 00:00:00.000000000,364,McAllen,5
24,1974,1/13/75,1/15/75,2 days 00:00:00.000000000,363,McAllen,5
25,1975,1/8/76,1/10/76,2 days 00:00:00.000000000,363,McAllen,5
26,1976,1/10/77,1/20/77,10 days 00:00:00.000000000,355,McAllen,5
27,1977,,,,365,McAllen,5
28,1978,12/10/78,1/4/79,25 days 00:00:00.000000000,340,McAllen,5
29,1979,,3/3/80,,365,McAllen,5
30,1980,,,,365,McAllen,5
31,1981,1/11/82,2/7/82,27 days 00:00:00.000000000,338,McAllen,5
32,1982,,,,365,McAllen,5
33,1983,12/24/83,1/21/84,28 days 00:00:00.000000000,337,McAllen,5
34,1984,1/3/85,2/3/85,31 days 00:00:00.000000000,334,McAllen,5
35,1985,12/14/85,12/15/85,1 days 00:00:00.000000000,364,McAllen,5
36,1986,,,,365,McAllen,5
37,1987,,,,365,McAllen,5
38,1988,,2/8/89,,365,McAllen,5
39,1989,12/13/89,12/26/89,13 days 00:00:00.000000000,352,McAllen,5
40,1990,12/23/90,12/25/90,2 days 00:00:00.000000000,363,McAllen,5
41,1991,,,,365,McAllen,5
42,1992,,,,365,McAllen,5
43,1993,,,,365,McAllen,5
44,1994,,,,365,McAllen,5
45,1995,1/8/96,2/5/96,28 days 00:00:00.000000000,337,McAllen,5
46,1996,12/19/96,1/15/97,27 days 00:00:00.000000000,338,McAllen,5
47,1997,,2/9/98,,365,McAllen,5
48,1998,,,,365,McAllen,5
49,1999,,,,365,McAllen,5
50,2000,,,,365,McAllen,5
51,2001,1/3/02,1/4/02,1 days 00:00:00.000000000,364,McAllen,5
52,2002,,,,365,McAllen,5
53,2003,,2/17/04,,365,McAllen,5
54,2004,12/25/04,12/27/04,2 days 00:00:00.000000000,363,McAllen,5
55,2005,,,,365,McAllen,5
56,2006,,,,365,McAllen,5
57,2007,,,,365,McAllen,5
58,2008,,,,365,McAllen,5
59,2009,12/5/09,1/11/10,37 days 00:00:00.000000000,328,McAllen,5
60,2010,12/26/10,2/12/11,48 days 00:00:00.000000000,317,McAllen,5
61,2011,,,,365,McAllen,5
62,2012,,,,365,McAllen,5
63,2013,1/25/14,1/29/14,4 days 00:00:00.000000000,361,McAllen,5
64,2014,,,,365,McAllen,5
65,2015,1/8/16,1/8/16,0 days 00:00:00.000000000,365,McAllen,5
66,2016,1/7/17,1/8/17,1 days 00:00:00.000000000,364,McAllen,5
67,2017,1/17/18,1/18/18,1 days 00:00:00.000000000,364,McAllen,5
68,2018,,,,365,McAllen,5
69,2019,,2/22/20,,365,McAllen,5
