name,role,presence,show,num_shows
 Aaron Shore,['Series Additional Crew' 'Series Transportation Department'],"['            office production assistant (12 episodes, 2019)          '
 '            assistant picture car coordinator (6 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Aaron Sickman,Series Camera and Electrical Department,"            2nd unit / lighting technician (8 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Aaron Sims,Series Additional Crew,            concept artist (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Aaron Southerland,Series Sound Department,"            adr mixer (8 episodes, 2017-2018)          ",Legion                  (2017–2019),35
 Aaron Welch,Series Camera and Electrical Department,"            grip: second unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Aaron Wilcox,Series Camera and Electrical Department,"            electrician (9 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Abby Coyne,Series Costume and Wardrobe Department,"['            set costumer (6 episodes, 2020)          '
 '            set costumer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Abby Thomas,Series Additional Crew,"            Accounting Clerk (6 episodes, 2021)          ",WandaVision                  (2021),35
 Abdoulaye NGom,Driver,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Abhijit Patil,Series Visual Effects by,"            digital compositor (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Abhishek Ghorui,Series Visual Effects by,"            Lead Paint Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Abhishek Pradhan,Series Visual Effects by,"            digital effects artist (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Abhishek Singh,Series Visual Effects by,"            digital compositor: Spin VFX (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Abhrajit Ganguly,Series Visual Effects by,"            visual effects (9 episodes, 2021)          ",WandaVision                  (2021),35
 Abi Monterey,Dorothy Spinner,"9 episodes, 2020                        ",Doom Patrol                  (2019– ),37
 Abigaille Ozrey,Farouk Girl #1,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Abran Trujillo,Series Second Unit Director or Assistant Director,"            additional second assistant director / second second assistant director (19 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Adam Baker,['Series Animation Department' 'Series Visual Effects by'],"['            animator: Spin VFX (uncredited) (unknown episodes)          '
 '            lead animator: Spin VFX / animator: Spin VFX (15 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Adam Blank,Series Visual Effects by,"            senior layout artist: ILM (2 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Cummerford,Series Camera and Electrical Department,"            camera trainee (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Adam DeKeyser,Series Costume and Wardrobe Department,"            costume buyer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Adam Elias Thomas,Series Costume and Wardrobe Department,"            costume assistant (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Adam Evans,Series Visual Effects by,            compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Adam Figielski,Series Visual Effects by,            division visual effects supervisor: Pixomondo (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Adam Gailey,Series Visual Effects by,"            FX Supervisor: luma pictures (2 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Godley,Pogo,"12 episodes, 2019-2020                        ",The Umbrella Academy                  (2019– ),46
 Adam Growe,Jim Hellerman,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Adam Hulbert,Series Visual Effects by,"            3d modeller (3 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Adam James Breazeale,Teenager #1,"2 episodes, 2020                        ",Doom Patrol                  (2019– ),37
 Adam Khalid,Series Art Department,"            graphic designer (9 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Kimmerlin,Series Editorial Department,"            second assistant editor (4 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Lahr,Series Art Department,            scenic artist (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Adam Lutz,Series Camera and Electrical Department,"            grip (6 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Lytle,Series Stunts,"            stunt double: Paul Bettany / stunt double: vision (8 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Michael Gold,Yo-Magic Shark,"1 episode, 2021                        ",WandaVision                  (2021),35
 Adam O'Brien-Locke,Series Visual Effects by,"            head of production: Rodeo FX (7 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Parrish King,Series Sound Department,"            sound effects editor (1 episode, 2019)          ",Legion                  (2017–2019),35
 Adam Pere,Series Visual Effects by,            visual effects producer: Crafty Apes (uncredited) / visual effects producer: crafty apes (uncredited) / visual effects production manager: crafty apes (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Adam Stern,Series Visual Effects by,"            compositor / in house vfx artist (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Adam Walls,Series Makeup Department,"            makeup artist (9 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Adam Waters,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Adam Winlove-Smith,Series Stunts,"            stunt double: Jason Bryden / soldier (7 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Addy Steigerwalt,Series Costume and Wardrobe Department,"            key costumer (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Adi Cabigting,Series Art Department,"            Digital Asset Manager (9 episodes, 2021)          ",WandaVision                  (2021),35
 Aditi Doshi,Series Visual Effects by,"            visual effects artist: Spin VFX (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Adrian Magaña,Series Costume and Wardrobe Department,"            costumer (6 episodes, 2021)          ",WandaVision                  (2021),35
 Adriana Bogaard,Series Art Department,"            second assistant art director (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Adrienne Ballenger,Series Stunts,"            Stunt Double: April Bowlby / Stunt Performer: Mime (3 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Aeryn Michelle Williams,Series Writing Credits,"['            (staff writer) (10 episodes, 2020)          '
 '            (teleplay by) (10 episodes, 2020)          ']",The Umbrella Academy                  (2019– ),46
 Afton White,Series Additional Crew,"            Key Assistant Location Manager (4 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Agnes Grzybowski,Series Costume and Wardrobe Department,"            manufacturing foreperson (16 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Agnes Lim,Series Visual Effects by,"            asset producer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Agnes Mayasari,Series Art Department,            art department assistant (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Ahn Mur,Series Art Department,"            assistant art director (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Aidan Dykes,Series Sound Department,"            adr mixer / adr recordist (5 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Aidan Gallagher,Number Five,"30 episodes, 2019-2020                        ",The Umbrella Academy                  (2019– ),46
 Aidan Martin,Series Animation Department,"            animation supervisor / animation supervisor: Weta Digital (14 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Aileen Mu,Series Visual Effects by,"            visual effects coordinator (9 episodes, 2021)          ",WandaVision                  (2021),35
 Aj Risi,Series Stunts,"            stunt double: Sean Sullivan / stunt safety (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Ajoo Manandhar,Series Visual Effects by,"            digital compositor (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Akin Goecmenli,Series Visual Effects by,"            fx supervisor: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Akira Fukasawa,Series Sound Department,"            sound utility / additional sound mixer (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Akiya McKnight,Series Additional Crew,"            production assistant (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Akshay Dandekar,Series Visual Effects by,"['            visual effects editor (6 episodes, 2021)          '
 '            visual effects editor: MARZ VFX / visual effects editor: Marz VFX (10 episodes, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Al Bernstein,Commission Board Member #5,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Al Downing,Series Costume and Wardrobe Department,"            set costumer (4 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Al Feldstein,Series Thanks,"            special thanks (6 episodes, 2021)          ",WandaVision                  (2021),35
 Al Rodrigo,Series Additional Crew,            voice cast (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Al Vrkljan,Series Stunts,"            stunts (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Alan 'Badger' Brayshaw,Series Visual Effects by,            visual effects line producer: Makuta (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alan Carreno Esquivel,Series Visual Effects by,"            digital compositor (2 episodes, 2021)          ",WandaVision                  (2021),35
 Alan D Thatcher,Series Camera and Electrical Department,"            Remote Head Technician (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Alan Fine,Series Produced by,"            executive producer (26 episodes, 2017-2019)          ",Legion                  (2017–2019),35
 Alan G. Kelly,Series Camera and Electrical Department,            additional camera operator/steadicam operator (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Alan Heckner,['Bump Weathers' 'Agent Monti'],"['3 episodes, 2019                        '
 '4 episodes, 2021                        ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Alan Mingo Jr.,Maura Lee Karupt,"2 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Alan Sutton,Series Additional Crew,"            fire safety coordinator (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alan Tudyk,Mr. Nobody,"15 episodes, 2019                        ",Doom Patrol                  (2019– ),37
 Alan Villanueva,Series Costume and Wardrobe Department,"            costume concept artist (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Alban Kasikci,Series Visual Effects by,"            digital compositor (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Albert Nicholas,D3 Soldier,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Alberto Carranza,Series Visual Effects by,"            Visualization Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alberto Landeros,Series Visual Effects by,"            Digital Compositor: Industrial Light & Magic (1 episode, 2021)          ",WandaVision                  (2021),35
 Aldo Jakasa,Series Additional Crew,"            traffic consultant (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alec Mapa,Animal-Vegetable-Mineral Man,"3 episodes, 2019                        ",Doom Patrol                  (2019– ),37
 Alec Niven,Series Visual Effects by,"            junior wrangler (9 episodes, 2021)          ",WandaVision                  (2021),35
 Aleks Cameron,['Series Art Direction by' 'Series Art Department'],"['            supervising art director (4 episodes, 2020)          '
 '            assistant art director (17 episodes, 2019-2020)          ']",The Umbrella Academy                  (2019– ),46
 Aleksandar Hardi,Series Visual Effects by,            digital compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alen Ghazarian,Series Visual Effects by,"            visual effects artist (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Alessandra Maci,Series Camera and Electrical Department,"            Digital Utility (8 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Alessandro Favale,Series Visual Effects by,"            digital compositor: SSVFX / Digital compositor: SSVFX (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alessandro Folchitto,Series Stunts,"            stunt performer (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Alessandro Nardini,Series Visual Effects by,"            Lead FX: Rodeo FX / Lead FX (8 episodes, 2021)          ",WandaVision                  (2021),35
 Alessandro Saponi,Series Visual Effects by,"            cg supervisor: Weta Digital (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alex Aponte,Series Visual Effects by,"            Visual Effects Production Manager: MrX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Alex Armbruster,['Commission Agent #1' 'Series Stunts'],"['1 episode, 2020                        '
 '            stunt double: Stephen Boegart (1 episode, 2020)          ']",The Umbrella Academy                  (2019– ),46
 Alex Burnett,Series Second Unit Director or Assistant Director,"            second assistant director (5 episodes, 2017)          ",Legion                  (2017–2019),35
 Alex Chansky,Series Stunts,"            utility stunt performer / utility stunts (3 episodes, 2021)          ",WandaVision                  (2021),35
 Alex Chiu,Series Visual Effects by,"['            digital matter painter (4 episodes, 2021)          '
 '            digital matte painter (20 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Alex Coble,Series Visual Effects by,"            digital compositor: ILM (1 episode, 2021)          ",WandaVision                  (2021),35
 Alex Cunningham,Series Art Department,"            Concept Illustrator (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alex Disenhof,Series Cinematography by,"            (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Alex Gaynor,Series Camera and Electrical Department,            gaffer: second unit (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alex Hirtenstein,Series Visual Effects by,"['            motion graphics: matte painter (uncredited) (unknown episodes)          '
 '            senior environment artist / environment artist (7 episodes, 2019-2020)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Alex J. Wood,Series Visual Effects by,"            digital compositor: Mammal Studios (3 episodes, 2019)          ",Legion                  (2017–2019),35
 Alex Khan,Series Visual Effects by,"            CG supervisor (1 episode, 2021)          ",WandaVision                  (2021),35
 Alex Knight,Squirrel,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Alex Kovacs,['Series Music by' 'Series Music Department'],"['            (3 episodes, 2021)          '
 '            Composer: Additional Music (3 episodes, 2021)          ']",WandaVision                  (2021),35
 Alex Laber,Series Camera and Electrical Department,            grip (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alex Leung,Series Camera and Electrical Department,"            first assistant camera: ""a"" camera - Tandem Unit / first assistant camera: ""b"" camera (20 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Alex Mandel,Series Visual Effects by,            senior production manager: motion: weta digital (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Alex Martini,Series Additional Crew,"            set production assistant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alex McNeill,Series Additional Crew,"            assistant production coordinator: second unit (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alex Meglei,Series Stunts,"['            stunt performer (2 episodes, 2019)          '
 '            stunts (uncredited) (unknown episodes)          ']","['Doom Patrol                  (2019– )'
 'Legion                  (2017–2019)']",2
 Alex Miller,Series Visual Effects by,"            compositor / digital compositor: visual effects (16 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Alex Mooradian,Series Camera and Electrical Department,"            lighting technician (2 episodes, 2021)          ",WandaVision                  (2021),35
 Alex Morin,Series Visual Effects by,"            visual effects production manager: Pixomondo (5 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Alex Mulgrew,David (16 Yrs),"4 episodes, 2017-2018                        ",Legion                  (2017–2019),35
 Alex Skrepnik,Series Additional Crew,"            production accountant (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Alex Tamayo,Series Camera and Electrical Department,"            lighting technician (1 episode, 2018)          ",Legion                  (2017–2019),35
 Alex Thiesen,Series Visual Effects by,"            visual effects executive producer: Refuge (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Alex Turenne,Series Special Effects by,            special effects technician (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alex Ulloa,Series Special Effects by,"            special effects technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Alex Wolfe,Series Visual Effects by,            digital compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alexa Collazo,Series Music Department,"            music clearance (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander A. Joseph,Series Camera and Electrical Department,"            oculus head tech (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Alexander Greenberg,Series Visual Effects by,"            compositor: MARZ VFX (3 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Kaminer,Fuchtopian Bellows Operator,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Alexander Leeb,Whispering Lawyer,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Alexander Lowe,Series Sound Department,"['            pro tools playback mixer (2 episodes, 2020)          '
 '            pro tools playback mixer (1 episode, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Alexander Mandra,Series Stunts,"            stunt driver (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alexander Narizni,Series Art Department,"            on-set dresser (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alexander Nedvidek,Fuchtopian #3,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Alexander Nunez,Follower #3,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Alexander Oplanchuk,Series Visual Effects by,"            Lighting Lead: MRX (1 episode, 2021)          ",WandaVision                  (2021),35
 Alexander Pelinovschi,Series Additional Crew,"            Assistant Production Coordinator (5 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Schumann,Series Visual Effects by,"            animator: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Tirasongkran,Series Visual Effects by,"            Matchmove Artist: Rodeo FX (5 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Turner,Series Sound Department,"            boom operator (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alexander Wilson,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Wlk,Series Visual Effects by,"            pipeline td: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Alexander Wood,Series Visual Effects by,            visual effects supervisor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alexandra Bahtishi,Series Additional Crew,"            production assistant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alexandra Kinsey,Series Additional Crew,"            assistant production coordinator (6 episodes, 2017)          ",Legion                  (2017–2019),35
 Alexandra McGuire,Tactical Guard,unknown episodes                        ,WandaVision                  (2021),35
 Alexandra Perpick,Series Casting Department,            casting intern: Toronto (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alexandra Reeves,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alexandra Vaillancourt,Series Visual Effects by,"            visual effects producer: Folks (19 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Alexandra Zedalis,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alexandre Lamontagne,Series Visual Effects by,"            digital compositor: Folks (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Alexandria Gillette,Series Costume and Wardrobe Department,            costume assistant (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Alexey Alekhin,Series Visual Effects by,"            compositing supervisor (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Alexis Auditore,Series Production Management,"            physical production executive (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alexis Guajardo,Series Editorial Department,"            Finishing Producer (4 episodes, 2017)          ",Legion                  (2017–2019),35
 Alexis Lord,Series Stunts,"            water safety (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Alexis Tarakjian,Series Visual Effects by,"            visual effects artist (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Alexis Victoria Bloom,Violet (Age 35),"1 episode, 2019                        ",Legion                  (2017–2019),35
 Alexis Winter,Series Casting Department,"            casting associate (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Alexx Sturman,Series Costume and Wardrobe Department,"            wardrobe assistant (1 episode, 2018)          ",Legion                  (2017–2019),35
 Aleya Gibson,Series Costume and Wardrobe Department,"            costume breakdown artist (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Ali Jafargholi,Series Visual Effects by,"            Senior Pipeline Technical Director (7 episodes, 2021)          ",WandaVision                  (2021),35
 Ali Nezafat,Series Visual Effects by,"            compositor (5 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Alice Chang,Series Visual Effects by,"            Visualization Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alice Rietveld,Series Stunts,"            stunt performer: Witch (1 episode, 2021)          ",WandaVision                  (2021),35
 Alicia Cox,Series Costume and Wardrobe Department,"            background costumer / costumer (19 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Alicia Ying,Lab Tech Lee,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Alimi Ballard,Joshua Clay,"2 episodes, 2019                        ",Doom Patrol                  (2019– ),37
 Aliska Malish,Ghoulish Face #3,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Alison Mills Newman,Evette,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Alison Parham,Series Editorial Department,"            post-production coordinator (1 episode, 2017)          ",Legion                  (2017–2019),35
 Alison Smiley,Claudia (Housekeeper),"2 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Allan B. Holt,Series Costume and Wardrobe Department,"            Supersuit Project Manager for Creative Character Engineering (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Allan Cox,Series Sound Department,"            sound utility / playback mixer / sound mixer: second unit (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Allan Heinberg,Series Thanks,"            special thanks (3 episodes, 2021)          ",WandaVision                  (2021),35
 Allen Coulter,Series Art Department,"            set designer (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Allen Robinson,Series Camera and Electrical Department,"['            grip (5 episodes, 2019)          '
 '            Grip (4 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Alli Beckman,Series Stunts,"['            stunt performer (1 episode, 2019)          '
 '            stunt rigger / utility stunt performer (2 episodes, 2021)          ']","['Doom Patrol                  (2019– )'
 'WandaVision                  (2021)']",2
 Allie Koppel,Series Visual Effects by,"            Head of Finance: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Allison Gainza,Series Special Effects by,"            special effects technician (6 episodes, 2021)          ",WandaVision                  (2021),35
 Allison Glennon,Series Visual Effects by,"['            visual effects producer (5 episodes, 2021)          '
 '            visual effects producer: Lola VFX (1 episode, 2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Allison Kutchaver,Series Animation Department,"            inbetween artist (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Allison Rushton,Series Second Unit Director or Assistant Director,"            additional second assistant director (9 episodes, 2021)          ",WandaVision                  (2021),35
 Allison Shepherd,Series Makeup Department,"            hair stylist (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Allison Weintraub,Series Writing Credits,"            (story editor) (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Allyson Manno,Series Visual Effects by,"            Visualization Coordinator: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Alonzo Edwards,Series Art Department,"            sculptor (11 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Alton Williams,School Bus Kid #2,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Alvaro Claver,Series Visual Effects by,"            visual effects artist (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alvin Chon,Series Stunts,"            stunt performer: SWORD Technician (1 episode, 2021)          ",WandaVision                  (2021),35
 Alvin Lee Fleming,Bad Girls Skater #4,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Alyssa Gervasi,Young Vanya (Age 4),"2 episodes, 2019-2020                        ",The Umbrella Academy                  (2019– ),46
 Alyssa Nevarez,Series Sound Department,"            foley editor / Foley Editor (6 episodes, 2021)          ",WandaVision                  (2021),35
 Alzie Williams,Circus Attendant,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Aman Dyala,Series Visual Effects by,"            visual effects artist (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Aman Shrestha,Series Visual Effects by,"            visual effects artist (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Amanda Beggs,Series Sound Department,"            production sound mixer / sound mixer (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Amanda Bromberg,Series Art Department,"            set decoration buyer (10 episodes, 2018)          ",Legion                  (2017–2019),35
 Amanda Darouie,Series Camera and Electrical Department,"            second assistant camera: b camera (7 episodes, 2019)          ",Legion                  (2017–2019),35
 Amanda L. Akins,Series Costume and Wardrobe Department,"            super suit electronic specialist (25 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Amanda LaMarco,Series Animation Department,"            compositor: TITMOUSE INC. (1 episode, 2021)          ",WandaVision                  (2021),35
 Amanda Lee,Series Visual Effects by,"            lighting 3d artist (4 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Amanda Marsalis,Series Directed by,"            (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Amanda Martins,Wardrobe Gal,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Amanda McEwan,Mysterious Woman,unknown episodes                        ,Legion                  (2017–2019),35
 Amanda Mofield,Series Makeup Department,            hair department head (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Amanda Panella,Series Film Editing by,"            (4 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Amanda Row,Series Directed by,"            (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Amanda S. Hall,Series Stunts,"            stunt performer: Townspeople (1 episode, 2021)          ",WandaVision                  (2021),35
