,State,Code,Name,County,Violent,Murder,Rape,Robbery,Aggravated_Assault,Property,Burglary,Larceny,MotorVehicle,Arson,Total,pop_est,normalized
922,GEORGIA,GA,Henry,Henry County,0,0,0,0,0,78,0,78,0,0,156,234561,0.665072199
925,KENTUCKY,KY,Henry,Henry County,1,0,0,0,1,7,3,3,1,0,16,16126,0.992186531
930,NEW YORK,NY,Herkimer,Herkimer County,0,0,0,0,0,0,0,0,0,0,0,61319,0
931,FLORIDA,FL,Hernando,Hernando County,466,6,77,50,333,"2,855",490,"2,169",196,23,6665,193920,34.36984323
932,NORTH CAROLINA,NC,Hertford,Hertford County,,4,,9,25,201,87,105,9,6,446,23677,18.83684588
933,NORTH DAKOTA,ND,Hettinger,Hettinger County,6,0,2,0,4,24,6,17,1,0,60,2499,24.00960384
935,TENNESSEE,TN,Hickman,Hickman County,91,3,13,3,72,314,62,192,60,3,813,25178,32.29009453
934,KENTUCKY,KY,Hickman,Hickman County,1,0,0,0,1,8,2,3,3,1,19,4380,4.337899543
936,MISSOURI,MO,Hickory,Hickory County,3,0,0,0,3,89,30,54,5,0,184,9544,19.27912825
937,TEXAS,TX,Hidalgo,Hidalgo County,522,4,121,101,296,"3,489","1,022","2,286",181,19,8041,868707,9.256285491
938,NEW MEXICO,NM,Hidalgo,Hidalgo County,9,0,0,0,9,12,5,5,2,,42,4198,10.00476417
939,VIRGINIA,VA,Highland,Highland County,2,0,1,0,1,14,2,11,1,1,33,2190,15.06849315
940,OHIO,OH,Highland,Highland County,20,2,12,2,4,271,95,157,19,1,583,43161,13.5075647
941,FLORIDA,FL,Highlands,Highlands County,220,2,37,30,151,"1,854",456,"1,319",79,8,4156,106221,39.12597321
942,TEXAS,TX,Hill5,Hill County,50,0,13,3,34,280,96,150,34,5,665,36649,18.14510628
943,MONTANA,MT,Hill,Hill County,22,1,2,0,19,178,11,155,12,2,402,16484,24.38728464
944,FLORIDA,FL,Hillsborough,Hillsborough County,"1,849",35,245,298,"1,271","12,516","1,889","9,520","1,107",47,28777,1471968,19.55001739
945,MICHIGAN,MI,Hillsdale,Hillsdale County,37,3,7,0,27,111,36,64,11,0,296,45605,6.490516391
946,MISSISSIPPI,MS,Hinds,Hinds County,101,4,5,5,87,454,198,198,58,0,1110,231840,4.787784679
947,COLORADO,CO,Hinsdale,Hinsdale County,1,0,1,0,0,4,0,4,0,0,10,820,12.19512195
948,NEBRASKA,NE,Hitchcock,Hitchcock County,2,0,1,0,1,12,4,6,2,,28,2762,10.13758146
949,OHIO,OH,Hocking,Hocking County,19,4,2,1,12,495,112,246,137,3,1031,28264,36.47749788
950,TEXAS,TX,Hockley,Hockley County,7,0,2,1,4,97,46,45,6,1,209,23021,9.078667304
951,NORTH CAROLINA,NC,Hoke,Hoke County,,1,,8,12,943,331,531,81,0,1907,55234,34.52583554
952,FLORIDA,FL,Holmes,Holmes County,48,0,3,0,45,170,50,108,12,0,436,19617,22.22562064
953,MISSOURI,MO,Holt,Holt County,6,0,0,0,6,57,16,28,13,0,126,4403,28.61685215
954,TEXAS,TX,Hood,Hood County,71,2,13,3,53,391,111,244,36,2,926,61643,15.02198141
955,OREGON,OR,Hood River,Hood River County,11,0,3,0,8,111,25,75,11,0,244,23382,10.43537764
956,NEBRASKA,NE,Hooker,Hooker County,0,0,0,0,0,2,0,2,0,,4,682,5.865102639
957,KENTUCKY,KY,Hopkins,Hopkins County,16,0,4,1,11,267,90,133,44,5,571,44686,12.77805129
958,TEXAS,TX,Hopkins,Hopkins County,16,2,8,0,6,70,26,33,11,2,174,37084,4.69205048
959,SOUTH CAROLINA,SC,Horry,Horry County,889,21,172,118,578,"5,991","1,105","4,282",604,44,13804,354081,38.98542989
960,SOUTH CAROLINA,SC,Horry,Horry County,3,0,1,0,2,3,0,3,0,1,13,354081,0.036714763
961,WYOMING,WY,Hot Springs,Hot Springs County,1,0,0,0,1,18,1,15,2,0,38,4413,8.610922275
962,MICHIGAN,MI,Houghton,Houghton County,3,0,1,0,2,59,15,40,4,0,124,35684,3.474946755
963,GEORGIA,GA,Houston,Houston County,117,0,10,9,98,"1,002",161,792,49,3,2241,157863,14.19585337
964,TEXAS,TX,Houston5,Houston County,10,0,1,1,8,101,33,58,10,0,222,22968,9.665621735
965,ALABAMA,AL,Houston,Houston County,121,1,9,19,92,657,187,400,70,0,1556,105882,14.69560454
966,TENNESSEE,TN,Houston,Houston County,15,0,0,0,15,85,22,52,11,0,200,8201,24.38726985
967,MINNESOTA,MN,Houston,Houston County,3,0,1,0,2,29,7,18,4,0,64,18600,3.440860215
973,ARKANSAS,AR,Howard,Howard County,23,0,4,3,16,45,24,19,2,0,136,13202,10.30146947
972,MARYLAND,MD,Howard,Howard County,643,1,73,130,439,"4,548",442,"3,852",254,62,10444,325690,32.06730326
971,TEXAS,TX,Howard,Howard County,33,1,2,0,30,185,38,117,30,1,437,36664,11.91904866
969,MARYLAND,MD,Howard,Howard County,0,0,0,0,0,0,0,0,0,0,0,325690,0
968,NEBRASKA,NE,Howard,Howard County,7,0,0,0,7,9,3,2,4,0,32,6445,4.965089216
970,MISSOURI,MO,Howard,Howard County,8,0,0,0,8,47,28,12,7,0,110,10001,10.99890011
974,MISSOURI,MO,Howell,Howell County,55,1,1,0,53,308,101,172,35,0,726,40117,18.09706608
975,MINNESOTA,MN,Hubbard,Hubbard County,25,0,7,0,18,223,76,125,22,1,497,21491,23.1259597
976,NEW JERSEY,NJ,Hudson,Hudson County,0,0,0,0,0,0,0,0,0,0,0,672391,0
977,TEXAS,TX,Hudspeth5,Hudspeth County,3,0,0,0,3,32,20,4,8,0,70,4886,14.32664756
978,COLORADO,CO,Huerfano,Huerfano County,20,3,1,2,14,119,35,75,9,5,283,6897,41.0323329
979,OKLAHOMA,OK,Hughes,Hughes County,18,3,0,0,15,143,40,82,21,4,326,13279,24.55004142
980,SOUTH DAKOTA,SD,Hughes,Hughes County,4,0,0,0,4,13,5,8,0,0,34,17526,1.939974894
981,CALIFORNIA,CA,Humboldt,Humboldt County,240,7,17,52,164,899,338,538,23,16,2294,135558,16.92264566
982,NEVADA,NV,Humboldt,Humboldt County,26,1,10,0,15,79,53,18,8,2,212,16831,12.59580536
983,TENNESSEE,TN,Humphreys,Humphreys County,46,1,5,0,40,155,60,73,22,2,404,18582,21.74147024
984,NEW JERSEY,NJ,Hunterdon,Hunterdon County,0,0,0,0,0,0,0,0,0,0,0,124371,0
985,MICHIGAN,MI,Huron,Huron County,17,0,5,0,12,81,24,56,1,1,197,30981,6.358735999
987,SOUTH DAKOTA,SD,Hutchinson,Hutchinson County,0,0,0,0,0,6,3,2,1,0,12,7291,1.645864765
986,TEXAS,TX,Hutchinson,Hutchinson County,15,0,5,0,10,70,14,44,12,0,170,20938,8.119209094
988,SOUTH DAKOTA,SD,Hyde,Hyde County,0,0,0,0,0,0,0,0,0,0,0,1301,0
989,LOUISIANA,LA,Iberville,Iberville County,228,4,10,18,196,390,94,291,5,0,1236,32511,38.01790163
990,IDAHO,ID,Idaho,Idaho County,20,0,2,1,17,82,26,49,7,0,204,16667,12.2397552
991,CALIFORNIA,CA,Imperial,Imperial County,241,3,13,15,210,721,174,456,91,21,1945,181215,10.73310708
992,ARKANSAS,AR,Independence,Independence County,195,3,38,4,150,439,149,235,55,18,1286,37825,33.99867812
993,FLORIDA,FL,Indian River,Indian River County,250,9,27,36,178,"1,622",277,"1,260",85,2,3746,159923,23.42377269
994,PENNSYLVANIA,PA,Indiana,Indiana County,0,0,0,0,0,0,0,0,0,0,0,84073,0
995,MICHIGAN,MI,Ingham,Ingham County,160,0,46,8,106,546,131,382,33,1,1413,292406,4.832322182
996,CALIFORNIA,CA,Inyo,Inyo County,80,0,6,4,70,139,58,80,1,3,441,18039,24.44703143
997,MICHIGAN,MI,Ionia,Ionia County,72,1,37,1,33,242,58,167,17,2,630,64697,9.737700357
998,MICHIGAN,MI,Iosco,Iosco County,4,0,0,0,4,5,2,3,0,0,18,25127,0.716360887
999,WISCONSIN,WI,Iowa,Iowa County,12,1,1,0,10,43,6,33,4,1,111,23678,4.687895937
1000,TEXAS,TX,Irion5,Irion County,4,0,1,0,3,30,7,20,3,0,68,1536,44.27083333
1004,MISSOURI,MO,Iron,Iron County,11,0,2,0,9,63,26,30,7,,148,10125,14.61728395
1003,WISCONSIN,WI,Iron,Iron County,6,0,1,0,5,65,16,43,6,0,142,5687,24.96922806
1001,MICHIGAN,MI,Iron,Iron County,12,0,4,0,8,18,4,14,0,0,60,11066,5.422013374
1002,UTAH,UT,Iron,Iron County,37,0,7,0,30,130,38,75,17,2,336,54839,6.127026386
1005,ILLINOIS,IL,Iroquois,Iroquois County,11,0,0,2,9,151,59,80,12,1,325,27114,11.98642768
1006,GEORGIA,GA,Irwin,Irwin County,8,0,1,1,6,119,22,84,13,0,254,9416,26.97536109
1007,MICHIGAN,MI,Isabella,Isabella County,39,1,10,1,27,262,68,180,14,3,605,69872,8.658690176
1008,MINNESOTA,MN,Isanti,Isanti County,17,0,4,1,12,207,46,139,22,0,448,40596,11.03557001
1009,WASHINGTON,WA,Island,Island County,30,0,4,1,25,508,186,289,33,1,1077,85141,12.64960477
1010,VIRGINIA,VA,Isle of Wight,Isle of Wight County,32,1,4,5,22,205,31,154,20,1,475,37109,12.80012935
1011,MINNESOTA,MN,Itasca,Itasca County,19,0,6,1,12,217,71,134,12,0,472,45130,10.45867494
1012,ARKANSAS,AR,Izard,Izard County,48,1,18,0,29,282,76,191,15,11,671,13629,49.23325262
1013,TEXAS,TX,Jack,Jack County,5,1,0,0,4,58,10,27,21,0,126,8935,14.10184667
1026,KANSAS,KS,Jackson,Jackson County,33,1,6,0,26,129,25,90,14,3,327,13171,24.82727204
1025,ARKANSAS,AR,Jackson,Jackson County,26,0,6,0,20,128,3,97,28,3,311,16719,18.601591
1027,MINNESOTA,MN,Jackson,Jackson County,4,0,1,0,3,30,6,21,3,0,68,9846,6.906357912
1024,INDIANA,IN,Jackson,Jackson County,17,1,4,1,11,341,78,245,18,,716,44231,16.18774163
1030,TEXAS,TX,Jackson,Jackson County,4,0,1,0,3,52,12,32,8,0,112,14760,7.588075881
1031,SOUTH DAKOTA,SD,Jackson,Jackson County,1,0,0,0,1,0,0,0,0,0,2,3344,0.598086124
1032,LOUISIANA,LA,Jackson,Jackson County,11,1,2,4,4,105,19,84,2,0,232,15744,14.73577236
1028,FLORIDA,FL,Jackson,Jackson County,91,1,19,3,68,717,146,527,44,0,1616,46414,34.81708105
1023,OREGON,OR,Jackson,Jackson County,195,1,24,17,153,"1,633",383,"1,089",161,11,3667,220944,16.59696575
1029,OKLAHOMA,OK,Jackson,Jackson County,9,0,1,1,7,43,15,23,5,2,106,24530,4.321239299
1021,KENTUCKY,KY,Jackson,Jackson County,2,0,1,0,1,61,26,18,17,0,126,13329,9.453072248
1020,MICHIGAN,MI,Jackson,Jackson County,179,2,39,3,135,466,69,351,46,1,1291,158510,8.144596555
1019,NORTH CAROLINA,NC,Jackson,Jackson County,,0,,8,43,813,443,310,60,2,1679,43938,38.21293641
1018,WISCONSIN,WI,Jackson,Jackson County,11,0,2,1,8,170,56,85,29,0,362,20643,17.53621082
1017,ILLINOIS,IL,Jackson,Jackson County,23,0,7,0,16,291,94,174,23,0,628,56750,11.0660793
1022,TENNESSEE,TN,Jackson,Jackson County,34,4,3,0,27,102,23,58,21,1,273,11786,23.16307483
1016,COLORADO,CO,Jackson,Jackson County,1,0,0,0,1,5,1,3,1,0,12,1392,8.620689655
1015,OHIO,OH,Jackson,Jackson County,29,0,7,3,19,230,67,143,20,0,518,32413,15.98124209
1014,MISSOURI,MO,Jackson,Jackson County,45,0,5,7,33,484,152,278,54,5,1063,703011,1.512067379
1033,VIRGINIA,VA,James City,James City County,105,1,18,13,73,870,61,778,31,4,1954,76523,25.53480653
1037,MISSOURI,MO,Jasper,Jasper County,84,0,10,10,64,505,126,302,77,,1178,121328,9.709217988
1036,TEXAS,TX,Jasper,Jasper County,69,1,20,3,45,317,111,168,38,6,778,35529,21.89760477
1034,GEORGIA,GA,Jasper,Jasper County,63,0,0,2,61,174,26,141,7,0,474,14219,33.33567761
1035,ILLINOIS,IL,Jasper,Jasper County,1,0,0,0,1,8,5,1,2,0,18,9610,1.873048907
1038,INDIANA,IN,Jay,Jay County,16,0,0,2,14,65,3,59,3,,162,20436,7.927187317
1039,GEORGIA,GA,Jeff Davis,Jeff Davis County,16,0,0,0,16,115,28,77,10,0,262,15115,17.3337744
1052,TEXAS,TX,Jefferson,Jefferson County,51,0,1,6,44,381,97,233,51,5,869,251565,3.454375609
1060,OREGON,OR,Jefferson,Jefferson County,20,1,1,3,15,157,38,88,31,6,360,24658,14.59972423
1059,LOUISIANA,LA,Jefferson,Jefferson County,"1,448",24,94,286,"1,044","9,520","1,297","7,595",628,42,21978,432493,50.81700744
1058,WISCONSIN,WI,Jefferson,Jefferson County,34,0,1,0,33,266,40,207,19,2,602,84769,7.101652727
1057,FLORIDA,FL,Jefferson,Jefferson County,78,1,4,4,69,219,91,109,19,1,595,14246,41.76610979
1056,MISSOURI,MO,Jefferson,Jefferson County,335,5,31,20,279,"2,415",551,"1,471",393,13,5513,225081,24.4934046
1055,ALABAMA,AL,Jefferson,Jefferson County,729,10,45,128,546,"2,255","1,181",888,186,0,5968,658573,9.062017423
1054,WEST VIRGINIA,WV,Jefferson,Jefferson County,24,0,5,1,18,169,20,133,16,1,387,57146,6.772127533
1053,KENTUCKY,KY,Jefferson,Jefferson County,0,0,0,0,0,1,1,0,0,0,2,766757,0.002608388
1051,OKLAHOMA,OK,Jefferson,Jefferson County,2,0,0,1,1,27,5,18,4,1,59,6002,9.830056648
1061,NEW YORK,NY,Jefferson,Jefferson County,17,0,5,1,11,253,23,226,4,0,540,109834,4.91651037
1049,OHIO,OH,Jefferson,Jefferson County,12,0,1,0,11,75,25,43,7,1,175,65325,2.678913127
1050,PENNSYLVANIA,PA,Jefferson,Jefferson County,0,0,0,0,0,0,0,0,0,0,0,43425,0
1041,MONTANA,MT,Jefferson,Jefferson County,36,0,2,0,34,108,15,80,13,0,288,12221,23.56599296
1042,IDAHO,ID,Jefferson,Jefferson County,6,0,1,0,5,101,18,68,15,1,215,29871,7.197616417
1043,GEORGIA,GA,Jefferson,Jefferson County,32,0,3,0,29,80,26,49,5,0,224,15362,14.58143471
1040,ILLINOIS,IL,Jefferson,Jefferson County,57,1,3,5,48,236,84,135,17,2,588,37684,15.60343913
1045,KANSAS,KS,Jefferson,Jefferson County,29,1,6,1,21,189,38,134,17,2,438,19043,23.00057764
1046,NEBRASKA,NE,Jefferson,Jefferson County,2,0,1,0,1,19,6,12,1,0,42,7046,5.960828839
1047,WASHINGTON,WA,Jefferson,Jefferson County,24,0,4,1,19,244,100,123,21,1,537,32221,16.66614941
1048,TENNESSEE,TN,Jefferson,Jefferson County,90,0,12,9,69,416,122,247,47,3,1015,54495,18.62556198
1044,ARKANSAS,AR,Jefferson,Jefferson County,67,3,15,4,45,412,151,212,49,12,970,66824,14.51574285
1062,INDIANA,IN,Jennings,Jennings County,3,0,2,0,1,116,70,46,0,,238,27735,8.581215071
1063,SOUTH DAKOTA,SD,Jerauld,Jerauld County,1,0,0,0,1,3,2,1,0,0,8,2013,3.974167909
1064,IDAHO,ID,Jerome,Jerome County,11,0,0,0,11,97,26,62,9,1,217,24412,8.889070949
1065,ILLINOIS,IL,Jersey,Jersey County,23,0,9,0,14,105,38,57,10,0,256,21773,11.75768153
1066,KENTUCKY,KY,Jessamine,Jessamine County,13,1,5,1,6,231,84,133,14,1,489,54115,9.036311559
1067,TEXAS,TX,Jim Wells,Jim Wells County,109,2,12,1,94,344,178,141,25,6,912,40482,22.5285312
1068,ILLINOIS,IL,Jo Daviess,Jo Daviess County,12,0,5,1,6,86,16,64,6,1,197,21235,9.277136802
1075,KENTUCKY,KY,Johnson,Johnson County,9,0,3,0,6,45,12,13,20,0,108,22188,4.867495944
1077,TEXAS,TX,Johnson,Johnson County,213,1,35,7,170,675,164,420,91,4,1780,175817,10.12416319
1076,TENNESSEE,TN,Johnson,Johnson County,52,1,8,1,42,201,48,119,34,0,506,17788,28.44614347
1073,MISSOURI,MO,Johnson,Johnson County,27,1,3,2,21,289,73,180,36,0,632,54062,11.69028153
1074,INDIANA,IN,Johnson,Johnson County,46,0,0,6,40,471,62,407,2,0,1034,158167,6.53739402
1071,NEBRASKA,NE,Johnson,Johnson County,7,0,6,0,1,18,8,9,1,0,50,5071,9.859988168
1070,KANSAS,KS,Johnson,Johnson County,61,0,6,1,54,203,33,146,24,4,532,602401,0.883132664
1069,ARKANSAS,AR,Johnson,Johnson County,36,2,1,2,31,165,60,77,28,0,402,26578,15.12529159
1072,WYOMING,WY,Johnson,Johnson County,4,0,1,0,3,41,8,31,2,0,90,8445,10.65719361
1078,NORTH CAROLINA,NC,Johnston,Johnston County,,6,,21,169,"1,564",465,986,113,3,3327,209339,15.89288188
1079,OKLAHOMA,OK,Johnston,Johnston County,7,0,1,0,6,49,20,23,6,2,114,11085,10.28416779
1080,TEXAS,TX,Jones,Jones County,1,1,0,0,0,49,21,23,5,0,100,20083,4.979335757
1081,GEORGIA,GA,Jones,Jones County,22,0,2,3,17,262,62,179,21,3,571,28735,19.87123717
1082,SOUTH DAKOTA,SD,Jones,Jones County,0,0,0,0,0,4,0,3,1,0,8,903,8.859357697
1083,OREGON,OR,Josephine,Josephine County,52,1,5,4,42,392,107,140,145,3,891,87487,10.18437025
1084,UTAH,UT,Juab,Juab County,1,0,1,0,0,41,7,26,8,0,84,12017,6.990097362
1085,MICHIGAN,MI,Kalamazoo,Kalamazoo County,275,2,45,43,185,"2,756",564,"2,004",188,16,6078,265066,22.93013815
1086,MICHIGAN,MI,Kalkaska,Kalkaska County,46,0,0,0,46,156,30,122,4,0,404,18038,22.39716155
1087,MINNESOTA,MN,Kanabec,Kanabec County,29,0,0,0,29,46,8,26,12,0,150,16337,9.181612291
1088,MINNESOTA,MN,Kandiyohi,Kandiyohi County,22,1,6,1,14,215,50,143,22,0,474,43199,10.97247621
1089,UTAH,UT,Kane,Kane County,5,0,0,0,5,20,4,13,3,0,50,7886,6.340349987
1090,ILLINOIS,IL,Kane,Kane County,75,0,29,3,43,224,74,123,27,2,600,532403,1.126965851
1091,ILLINOIS,IL,Kankakee,Kankakee County,47,2,12,2,31,295,111,149,35,4,688,109862,6.262401922
1092,TEXAS,TX,Karnes,Karnes County,2,0,0,0,2,92,39,42,11,1,189,15601,12.11460804
1093,TEXAS,TX,Kaufman,Kaufman County,143,2,58,8,75,571,162,330,79,0,1428,136154,10.48812374
1094,OKLAHOMA,OK,Kay,Kay County,21,0,0,1,20,77,42,34,1,0,196,43538,4.501814507
1095,NEBRASKA,NE,Kearney,Kearney County,1,0,0,0,1,28,6,18,4,0,58,6495,8.929946112
1096,KANSAS,KS,Kearny3,Kearny County,19,0,3,0,16,,,70,10,0,118,3838,30.74517978
1097,NEBRASKA,NE,Keith,Keith County,5,0,3,0,2,13,2,8,3,0,36,8034,4.480955937
1098,MISSISSIPPI,MS,Kemper,Kemper County,8,0,2,0,6,30,18,12,0,0,76,9742,7.801272839
1100,TEXAS,TX,Kendall,Kendall County,14,0,7,0,7,111,29,68,14,1,251,47431,5.291897704
1099,ILLINOIS,IL,Kendall,Kendall County,47,1,9,5,32,140,60,73,7,2,376,128990,2.914954648
1101,TEXAS,TX,Kenedy5,Kenedy County,2,0,0,0,2,5,1,2,2,0,14,404,34.65346535
1102,MAINE,ME,Kennebec,Kennebec County,13,0,6,0,7,129,35,91,3,0,284,122302,2.322120652
1103,WISCONSIN,WI,Kenosha,Kenosha County,42,1,11,3,27,365,75,271,19,0,814,169561,4.800632221
1104,MICHIGAN,MI,Kent,Kent County,415,8,157,43,207,"2,419",361,"1,926",132,15,5683,656955,8.650516398
1105,MARYLAND,MD,Kent,Kent County,5,0,3,0,2,54,17,37,0,0,118,19422,6.075584389
1106,TEXAS,TX,Kent,Kent County,2,0,1,0,1,9,0,8,1,0,22,762,28.87139108
1107,KENTUCKY,KY,Kenton,Kenton County,12,0,9,1,2,113,28,80,5,1,251,166998,1.503012012
1108,KENTUCKY,KY,Kenton,Kenton County,0,0,0,0,0,3,0,3,0,0,6,166998,0.035928574
1109,CALIFORNIA,CA,Kern,Kern County,"2,423",50,177,420,"1,776","9,472","2,781","4,622","2,069",300,24090,900202,26.76066039
1110,TEXAS,TX,Kerr,Kerr County,30,0,14,0,16,155,45,106,4,0,370,52600,7.034220532
1111,SOUTH CAROLINA,SC,Kershaw,Kershaw County,120,2,18,13,87,"1,016",207,710,99,5,2277,66551,34.21436192
1112,WISCONSIN,WI,Kewaunee,Kewaunee County,3,0,1,1,1,47,4,36,7,0,100,20434,4.893804444
1113,MICHIGAN,MI,Keweenaw,Keweenaw County,3,0,0,0,3,8,2,6,0,0,22,2116,10.39697543
1114,NEBRASKA,NE,Keya Paha,Keya Paha County,0,0,0,0,0,0,0,0,0,,0,806,0
1115,NORTH DAKOTA,ND,Kidder,Kidder County,1,0,1,0,0,4,3,1,0,0,10,2480,4.032258065
1116,TEXAS,TX,Kimble,Kimble County,0,0,0,0,0,11,2,7,2,0,22,4337,5.072630851
1117,WASHINGTON,WA,"King5,7",King County,,7,,111,294,"3,673","1,012","1,850",811,59,7817,2252782,3.469931844
1118,VIRGINIA,VA,King George,King George County,26,0,5,4,17,219,24,173,22,0,490,26836,18.259055
1119,VIRGINIA,VA,King William,King William County,6,0,1,0,5,62,11,46,5,1,137,17148,7.989269886
1120,VIRGINIA,VA,King and Queen,King and Queen County,13,2,4,0,7,44,13,29,2,1,115,7025,16.37010676
1121,OKLAHOMA,OK,Kingfisher,Kingfisher County,5,0,1,0,4,54,9,37,8,0,118,15765,7.484934983
1122,KANSAS,KS,Kingman,Kingman County,2,0,0,0,2,70,21,43,6,0,144,7152,20.13422819
1123,CALIFORNIA,CA,Kings,Kings County,133,2,19,12,100,462,158,281,23,7,1197,152940,7.826598666
1124,SOUTH DAKOTA,SD,Kingsbury,Kingsbury County,0,0,0,0,0,2,2,0,0,0,4,4939,0.809880543
1125,TEXAS,TX,Kinney,Kinney County,0,0,0,0,0,1,1,0,0,0,2,3667,0.545404963
1126,OKLAHOMA,OK,Kiowa,Kiowa County,10,1,2,0,7,23,11,8,4,1,67,8708,7.694074414
1127,KANSAS,KS,Kiowa,Kiowa County,2,0,1,0,1,27,8,19,0,0,58,2475,23.43434343
1128,COLORADO,CO,Kit Carson,Kit Carson County,7,0,2,1,4,41,11,27,3,0,96,7097,13.52684233
1129,WASHINGTON,WA,Kitsap,Kitsap County,451,3,107,39,302,"2,839",633,"1,978",228,21,6601,271473,24.31549362
1130,WASHINGTON,WA,Kittitas,Kittitas County,14,1,3,1,9,253,91,149,13,3,537,47935,11.20267028
1131,MINNESOTA,MN,Kittson,Kittson County,0,0,0,0,0,4,1,2,1,0,8,4298,1.861330852
