SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018,PPOPCHG_2019,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_POPEST2016,NRANK_POPEST2017,NRANK_POPEST2018,NRANK_POPEST2019,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_NPCHG2016,NRANK_NPCHG2017,NRANK_NPCHG2018,NRANK_NPCHG2019,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015,NRANK_PPCHG2016,NRANK_PPCHG2017,NRANK_PPCHG2018,NRANK_PPCHG2019
040,3,5,10,Delaware,897937,899593,907381,915179,923576,932487,941252,948921,956823,965479,973764,1656,7788,7798,8397,8911,8765,7669,7902,8656,8285,0.1844227379,0.8657248333,0.8593964388,0.917525424,0.9648366783,0.9399594847,0.814765865,0.8327352857,0.9046605276,0.8581232735,45,45,45,45,45,45,45,45,45,45,45,43,41,41,39,34,32,34,33,29,26,24,17,18,17,13,15,17,17,15,12
040,3,5,11,District of Columbia,601767,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,3459,14574,15124,15657,11747,13072,10415,9091,6641,4202,0.5748071928,2.4080260927,2.4401419813,2.4659644304,1.8056168256,1.9736444783,1.5420491561,1.3255761393,0.9556688243,0.5989620082,50,50,50,49,49,49,49,49,49,49,49,34,30,29,30,31,25,30,32,33,34,1,1,1,2,3,2,10,8,12,17
040,3,5,12,Florida,18804564,18845537,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,40973,207700,244585,247799,300290,363131,404435,350136,280704,233420,0.2178885934,1.1021177056,1.2836926345,1.2840775503,1.5363543578,1.8297522346,2.0012576549,1.698578071,1.3390058288,1.0987409009,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,20,9,7,6,5,5,2,5,7,9
040,3,5,13,Georgia,9688729,9711881,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,23152,90550,98999,71049,94799,111169,123443,108440,100801,106292,0.2389580718,0.932363154,1.0099433498,0.7175630187,0.9506061632,1.1042607545,1.2127881591,1.0526223829,0.9682786233,1.0112327589,9,9,9,8,8,8,8,8,8,8,8,5,5,4,7,5,4,5,6,6,5,16,12,15,23,14,13,13,15,11,11
040,4,9,15,Hawaii,1360307,1363963,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,3656,15366,15475,13439,6295,7514,5507,-3166,-3800,-4721,0.2687628601,1.1265701489,1.121922326,0.9635045497,0.4470109207,0.5311981721,0.3872572874,-0.221777173,-0.266780306,-0.332326008,40,40,40,40,40,40,40,40,40,40,40,33,28,28,32,41,35,36,45,45,45,11,8,12,15,28,24,28,46,47,47
040,4,8,16,Idaho,1567657,1570746,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,3089,13164,11414,15882,19906,19947,31321,35335,32821,36529,0.1970456548,0.8380731194,0.7206217525,0.9955344494,1.2354720625,1.2229080529,1.8970248792,2.1002983868,1.9107360651,2.0867322923,39,39,39,39,39,39,39,39,39,39,39,37,33,36,29,22,20,16,17,17,14,23,19,24,11,11,12,3,1,2,1
040,2,3,17,Illinois,12831572,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,8931,26951,15056,12619,-10636,-25580,-38386,-41699,-55757,-51250,0.0696017604,0.2098905315,0.1170083841,0.0979545135,-0.082480757,-0.198533229,-0.298516679,-0.32525184,-0.436323268,-0.402811554,5,5,5,5,5,5,5,5,6,6,6,17,22,30,33,51,51,51,50,50,50,42,45,46,45,47,49,50,49,49,49
040,2,3,18,Indiana,6484051,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,6381,26096,21175,31010,24931,14778,25882,23774,37419,36722,0.0984107003,0.4020687683,0.3249429758,0.4743256156,0.3795416241,0.22412493,0.3916517438,0.3583495722,0.5620090362,0.5484581652,15,15,15,16,16,16,16,17,17,17,17,25,23,22,19,21,24,18,19,16,13,38,34,36,31,30,35,27,25,19,19
040,2,4,19,Iowa,3046871,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,3874,15591,9854,16807,16353,11610,10411,10179,7068,6452,0.1271468336,0.5110554963,0.321360738,0.5463576697,0.5287105031,0.3733899368,0.3335832564,0.3250652829,0.2249844822,0.2049152993,30,30,30,30,30,30,30,30,30,31,31,31,27,38,25,25,28,31,30,32,30,33,31,37,29,26,29,29,27,33,30
040,2,4,20,Kansas,2853123,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,5067,11035,16032,7955,7263,8536,1833,-2126,2641,1955,0.1775948671,0.3860835004,0.5587571557,0.2757120076,0.2510358729,0.2942966238,0.0630111058,-0.073037236,0.0907960139,0.0671507705,33,33,33,33,34,34,34,35,35,35,35,29,35,26,40,38,34,41,44,38,38,25,35,29,35,34,31,41,42,39,39
040,3,6,21,Kentucky,4339333,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673,8848,21640,16525,18313,9690,11627,12206,14086,8885,6520,0.2039023048,0.4976793744,0.378161943,0.4175001242,0.2199943287,0.2633910459,0.2757809803,0.3173822074,0.1995612124,0.1461505579,26,26,26,26,26,26,26,26,26,26,26,18,24,24,24,33,27,26,25,28,29,21,33,32,32,37,32,32,29,34,34
040,3,7,22,Louisiana,4533487,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794,11045,31093,25347,23555,19486,20615,13507,-7575,-10870,-10896,0.2436314475,0.6841848622,0.5539571097,0.5119570386,0.4213620117,0.4439048728,0.2895622116,-0.161923502,-0.232734404,-0.233835298,25,25,25,25,25,25,25,25,25,25,25,14,19,20,21,23,19,25,48,48,48,14,25,30,30,29,28,31,45,45,46
040,1,1,23,Maine,1328358,1327629,1328284,1327729,1328009,1330513,1328262,1331317,1334612,1339057,1344212,-729,655,-555,280,2504,-2251,3055,3295,4445,5155,-0.054879784,0.0493360721,-0.041783233,0.0210886408,0.188552939,-0.169182864,0.2299998043,0.2474992808,0.3330555997,0.3849724097,41,41,41,41,41,42,42,42,42,42,42,50,50,50,49,42,47,38,37,36,33,50,49,50,48,38,48,35,31,24,25
040,3,5,24,Maryland,5773794,5788645,5839419,5886992,5923188,5957283,5985562,6003323,6023868,6035802,6045680,14851,50774,47573,36196,34095,28279,17761,20545,11934,9878,0.2572138874,0.8771310039,0.8146872146,0.614847107,0.5756190754,0.4746962667,0.2967306996,0.3422271299,0.1981119108,0.1636567932,19,19,19,19,19,19,19,19,19,19,19,12,11,13,16,17,18,20,21,24,23,13,15,21,27,25,26,30,26,35,33
040,1,1,25,Massachusetts,6547785,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503,18522,47276,49422,50310,49281,31632,29380,36181,22846,9868,0.282874285,0.7199785207,0.7472802564,0.7550647193,0.7340784694,0.4677493673,0.4324258768,0.5302326863,0.3330423137,0.1433753206,14,14,14,14,14,14,15,15,15,15,15,8,12,12,11,11,15,17,16,18,24,9,23,23,22,20,27,24,21,25,35
040,2,3,26,Michigan,9884116,9877510,9882412,9897145,9913065,9929848,9931715,9950571,9973114,9984072,9986857,-6606,4902,14733,15920,16783,1867,18856,22543,10958,2785,-0.066834505,0.049627892,0.1490830376,0.1608544686,0.1693018254,0.0188018991,0.1898564347,0.2265498131,0.109875411,0.0278944302,8,8,8,9,9,10,10,10,10,10,10,51,45,31,28,24,41,19,20,25,37,51,48,45,43,39,41,37,32,37,40
040,2,4,27,Minnesota,5303927,5310828,5346143,5376643,5413479,5451079,5482032,5522744,5566230,5606249,5639632,6901,35315,30500,36836,37600,30953,40712,43486,40019,33383,0.1301111422,0.6649622243,0.5705047545,0.6851115092,0.6945625909,0.5678325337,0.7426443333,0.7873984382,0.7189605891,0.5954605298,21,21,21,21,21,21,21,22,22,22,22,23,16,17,15,16,17,15,15,13,17,32,27,28,24,23,23,19,18,17,18
040,3,6,28,Mississippi,2968130,2970548,2978731,2983816,2988711,2990468,2988471,2987938,2988510,2981020,2976149,2418,8183,5085,4895,1757,-1997,-533,572,-7490,-4871,0.0814654345,0.2754710579,0.170710279,0.1640516707,0.0587878855,-0.066778845,-0.017835207,0.0191436368,-0.250626566,-0.163400447,31,31,31,31,31,31,31,33,33,34,34,39,40,45,45,43,46,44,39,47,46,41,39,43,42,45,47,44,40,46,44
040,2,4,29,Missouri,5988950,5995974,6010275,6024367,6040715,6056202,6071732,6087135,6106670,6121623,6137428,7024,14301,14092,16348,15487,15530,15403,19535,14953,15805,0.1172826622,0.2385100402,0.2344651451,0.2713646098,0.2563769355,0.256431341,0.2536837924,0.3209227329,0.2448634035,0.2581831648,18,18,18,18,18,18,18,18,18,18,18,22,31,33,27,26,22,23,22,21,19,35,44,40,36,33,33,33,28,31,29
040,4,8,30,Montana,989407,990697,997316,1003783,1013569,1021869,1030475,1040859,1052482,1060665,1068778,1290,6619,6467,9786,8300,8606,10384,11623,8183,8113,0.1303811273,0.6681154783,0.6484404141,0.9749119083,0.8188885019,0.842182315,1.0076906281,1.1166738242,0.7774954821,0.7648974936,44,44,44,44,44,44,44,44,44,43,43,44,43,43,36,35,33,32,26,31,27,31,26,27,13,17,16,15,14,16,15
040,2,4,31,Nebraska,1826305,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408,3237,11130,12631,11976,14042,11956,14339,10331,9667,8794,0.177243122,0.6083489748,0.686216773,0.6461976266,0.7528096333,0.6361872187,0.7581649859,0.5421344069,0.5045546667,0.4566855039,38,38,38,38,37,37,37,37,37,37,37,35,34,34,35,29,26,24,29,26,25,26,29,26,25,19,20,18,20,20,22
040,4,8,32,Nevada,2700677,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156,1728,10325,31266,31974,41658,49311,50624,52342,57436,52815,0.0639839566,0.3820670847,1.1525658654,1.1652349347,1.5006646325,1.750089082,1.7657857387,1.7940315256,1.9339339137,1.7446002944,35,35,35,35,35,35,35,34,34,32,32,42,37,16,18,13,13,13,14,11,10,45,36,10,8,6,6,6,3,1,2
040,1,1,33,New Hampshire,1316462,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711,300,3440,4030,2390,6719,3009,5957,6480,4678,6246,0.0227883524,0.2612469072,0.3052563168,0.1804819699,0.5064743386,0.2256737024,0.4457664534,0.4827509653,0.3468301518,0.4614821957,42,42,42,42,42,41,41,41,41,41,41,48,46,47,46,40,40,35,34,35,31,47,41,38,41,27,34,23,23,23,21
040,1,2,34,New Jersey,8791978,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190,7468,28671,16825,12030,7553,3424,2878,14698,500,-3835,0.0849410679,0.3258273305,0.1905842435,0.1360099365,0.0852774515,0.0386258711,0.032453953,0.1656891742,0.0056271295,-0.043157655,11,11,11,11,11,11,11,11,11,11,11,21,20,23,34,37,38,39,24,41,44,40,37,41,44,42,40,43,35,41,42
040,4,8,35,New Mexico,2059199,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829,5353,15898,6859,4964,-2705,-277,2339,154,957,4088,0.2599554487,0.7700459955,0.3296882886,0.2378181668,-0.129285232,-0.013256329,0.1119518535,0.0073626789,0.0457504216,0.1953418985,36,36,36,36,36,36,36,36,36,36,36,27,26,42,44,49,45,40,41,40,35,12,21,35,40,49,45,39,41,40,32
040,1,2,36,New York,19378144,19399878,19499241,19572932,19624447,19651049,19654666,19633428,19589572,19530351,19453561,21734,99363,73691,51515,26602,3617,-21238,-43856,-59221,-76790,0.112157284,0.5121836333,0.3779172738,0.2631951105,0.1355554121,0.0184061421,-0.108055767,-0.223374135,-0.3023088,-0.393182898,3,3,3,3,3,4,4,4,4,4,4,7,4,8,10,18,37,50,51,51,51,36,30,33,37,40,42,46,47,48,48
040,3,5,37,North Carolina,9535751,9574323,9657592,9749476,9843336,9932887,10031646,10154788,10268233,10381615,10488084,38572,83269,91884,93860,89551,98759,123142,113445,113382,106469,0.4044988171,0.8697116235,0.9514172891,0.9627184066,0.9097627065,0.9942627959,1.2275353417,1.1171577388,1.1042016674,1.025553346,10,10,10,10,10,9,9,9,9,9,9,4,7,5,4,7,8,6,5,4,4,4,16,17,16,15,14,12,13,10,10
040,2,4,38,North Dakota,672576,674715,685225,701176,722036,737401,754066,754434,754942,758080,762062,2139,10510,15951,20860,15365,16665,368,508,3138,3982,0.3180309735,1.5576947304,2.3278485169,2.9750019966,2.1280102377,2.2599643884,0.0488020942,0.0673352474,0.4156610707,0.5252743774,48,48,48,48,48,47,47,47,47,47,47,40,36,27,23,27,21,43,40,37,36,7,3,2,1,1,1,42,38,22,20
040,2,3,39,Ohio,11536751,11539336,11544663,11548923,11576684,11602700,11617527,11634370,11659650,11676341,11689100,2585,5327,4260,27761,26016,14827,16843,25280,16691,12759,0.022406655,0.0461638347,0.0369001676,0.2403773928,0.2247275645,0.1277892215,0.1449792198,0.2172872274,0.1431518099,0.1092722455,7,7,7,7,7,7,7,7,7,7,7,38,44,46,20,19,23,21,18,20,22,49,50,48,39,36,39,38,34,36,37
040,3,7,40,Oklahoma,3751582,3759944,3788379,3818814,3853214,3878187,3909500,3926331,3931316,3940235,3956971,8362,28435,30435,34400,24973,31313,16831,4985,8919,16736,0.2228926357,0.7562612635,0.8033779091,0.9008032337,0.6481083065,0.8074133609,0.4305154112,0.1269633151,0.226870595,0.4247462398,28,28,28,28,28,28,28,28,28,28,28,19,21,18,17,20,16,22,36,27,18,18,22,22,19,24,18,25,36,32,23
040,4,9,41,Oregon,3831079,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737,6412,34545,26965,23467,40776,52548,74184,53649,38261,35851,0.1673679922,0.900197551,0.6964036491,0.6018721206,1.0395495897,1.3258835439,1.8473068326,1.3117191886,0.9233702374,0.8572926187,27,27,27,27,27,27,27,27,27,27,27,24,18,19,22,14,10,9,12,14,15,28,14,25,28,12,11,4,10,14,13
040,1,2,42,Pennsylvania,12702868,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989,8292,34655,21303,9191,12004,-3487,-2551,5366,13281,1067,0.0652765974,0.2726344409,0.1671372133,0.0719896221,0.0939551478,-0.027267084,-0.019953342,0.0419800075,0.1038580924,0.0083353371,6,6,6,6,6,6,6,6,5,5,5,20,17,21,37,30,48,47,35,22,41,44,40,44,46,41,46,45,39,38,41
040,1,1,44,Rhode Island,1052964,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361,995,-310,972,460,855,129,705,-1097,2614,1074,0.0944951584,-0.029412909,0.092250835,0.043617565,0.0810364323,0.0122166495,0.0667572545,-0.103806883,0.2476145549,0.1014847579,43,43,43,43,43,43,43,43,43,44,44,46,51,48,47,44,43,42,42,39,40,39,51,47,47,43,43,40,43,30,38
040,3,5,45,South Carolina,4625366,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714,10283,36345,45360,46726,59537,68321,66030,63300,62888,64558,0.222317542,0.7840326133,0.9708916578,0.9905129019,1.2497061342,1.4163852561,1.3497718082,1.276732726,1.2524326525,1.2697879451,24,24,24,24,24,24,23,23,23,23,23,15,15,14,12,9,9,10,9,9,8,19,20,16,12,10,10,11,11,8,6
040,2,4,46,South Dakota,814198,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659,1968,7413,9987,8750,6813,4859,9008,9872,5830,5961,0.2417102474,0.9082711115,1.212634125,1.0497069218,0.8088413375,0.5722334298,1.0548157585,1.1439218722,0.6679131323,0.6783900726,46,46,46,46,46,46,46,46,46,46,46,41,42,37,38,39,36,33,31,34,32,15,13,9,9,18,22,14,12,18,16
040,3,6,47,Tennessee,6346276,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174,9035,43980,54607,40442,46883,49947,54840,62789,62832,57543,0.1423669566,0.6920196352,0.8533289078,0.6266290543,0.7219055362,0.7635728059,0.8320222358,0.9447623461,0.9365610745,0.8497657359,17,17,17,17,17,17,17,16,16,16,16,16,13,11,14,12,12,12,10,10,9,29,24,19,26,21,19,16,16,13,14
040,3,7,48,Texas,25146091,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881,95880,403658,438852,395785,484067,505723,444354,380863,333393,367215,0.3812918676,1.5991540439,1.7112155838,1.5173198194,1.8280292199,1.8755257176,1.6175940814,1.3643956652,1.1782639454,1.2826828885,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,2,3,4,2,4,9,7,9,5
040,4,8,49,Utah,2763891,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958,11441,39052,38991,44265,39239,44956,60033,59174,52508,52408,0.4139454125,1.407110933,1.3854186209,1.5513208043,1.3541709805,1.5307406264,2.0132904738,1.9453178113,1.6932373054,1.6618731271,34,34,34,34,33,33,32,31,31,30,30,13,14,15,13,15,14,11,11,12,11,3,5,6,3,8,8,1,2,3,4
040,1,1,50,Vermont,625737,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989,142,1170,-959,120,-996,2,-1559,687,14,-369,0.0226932401,0.1869370917,-0.152938606,0.0191665735,-0.159052075,0.0003198905,-0.249353823,0.1101567047,0.0022423536,-0.059100708,49,49,49,50,50,50,50,50,50,50,50,49,49,51,50,48,44,46,38,42,42,48,46,51,49,50,44,48,37,42,43
040,3,5,51,Virginia,8001049,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519,22650,77456,83925,67347,58566,50815,48298,53481,37699,34233,0.2830878801,0.9653403,1.0359633904,0.8228019763,0.7096821335,0.6114191168,0.5776023559,0.6359135069,0.4454257988,0.4026802533,12,12,12,12,12,12,12,12,12,12,12,6,8,6,8,10,11,14,13,15,16,8,11,13,20,22,21,21,19,21,24
040,4,9,53,Washington,6724540,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893,18290,83797,70431,66927,90670,109002,131114,128591,100507,91024,0.2719888647,1.2427571213,1.0317100964,0.9703702651,1.3019844241,1.5451074503,1.8302663011,1.762783232,1.3539283144,1.2098030947,13,13,13,13,13,13,13,13,13,13,13,9,6,10,9,6,5,4,4,7,6,10,6,14,14,9,7,5,4,6,7
040,3,5,54,West Virginia,1853018,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147,1221,2062,571,-2958,-4425,-7439,-11027,-14019,-12713,-12144,0.0658925062,0.1112046505,0.0307600976,-0.159300156,-0.238684211,-0.402219208,-0.59862653,-0.76563757,-0.699668245,-0.673062161,37,37,37,37,38,38,38,38,38,38,38,45,48,49,51,50,50,49,49,49,49,43,47,49,51,51,51,51,50,51,51
040,2,3,55,Wisconsin,5687285,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434,3190,14813,14672,16794,14771,9415,11688,17558,17220,15028,0.0560900324,0.2603121883,0.2571649319,0.2936034518,0.2574801011,0.1636957155,0.2028835572,0.3041595613,0.2973997726,0.2587730219,20,20,20,20,20,20,20,20,20,20,20,36,29,32,26,28,31,28,23,19,21,46,42,39,34,32,38,36,30,26,28
040,4,8,56,Wyoming,563775,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759,712,2812,9006,5817,409,3082,-1398,-5284,-1330,1158,0.126291517,0.4981514189,1.5875226292,1.0093613625,0.070260186,0.5290705559,-0.238724209,-0.904461542,-0.229733768,0.2004844174,51,51,51,51,51,51,51,51,51,51,51,47,47,39,43,45,39,45,47,43,39,34,32,4,10,44,25,47,51,44,31
040,X,X,72,Puerto Rico,3726157,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,-4632,-42793,-44244,-41411,-58203,-61642,-66560,-81386,-131932,340,-0.124310382,-1.149878074,-1.202697016,-1.139390197,-1.619865091,-1.743824532,-1.916370689,-2.389017786,-3.967538431,0.0106471127,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
